position_id,x_m,y_m,block_id,master_role,heading_degrees,camera_ids,geometry_visible_camera_ids
P0041,-0.4,-7.2,B03_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0042,0.4,-7.2,B03_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_D;camera_E
P0043,1.2,-7.2,B04_00,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_D;camera_E
P0044,2.0,-7.2,B04_00,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0045,2.8,-7.2,B04_00,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0046,3.6,-7.2,B04_00,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0047,4.4,-7.2,B05_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0048,5.2,-7.2,B05_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0049,6.0,-7.2,B05_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0050,6.8,-7.2,B05_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0051,7.6,-7.2,B06_00,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0052,8.4,-7.2,B06_00,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0053,9.2,-7.2,B06_00,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0054,10.0,-7.2,B06_00,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0055,10.8,-7.2,B07_00,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0056,-10.8,-6.4,B00_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B
P0057,-10.0,-6.4,B00_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_E
P0058,-9.2,-6.4,B00_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_E
P0059,-8.4,-6.4,B01_01,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_E
P0060,-7.6,-6.4,B01_01,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
P0061,-6.8,-6.4,B01_01,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
P0062,-6.0,-6.4,B01_01,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C;camera_E
P0063,-5.2,-6.4,B02_01,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0064,-4.4,-6.4,B02_01,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0065,-3.6,-6.4,B02_01,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0066,-2.8,-6.4,B02_01,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0067,-2.0,-6.4,B03_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0068,-1.2,-6.4,B03_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0069,-0.4,-6.4,B03_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0070,0.4,-6.4,B03_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_D;camera_E
P0071,1.2,-6.4,B04_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_D;camera_E
P0072,2.0,-6.4,B04_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0073,2.8,-6.4,B04_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0074,3.6,-6.4,B04_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0075,4.4,-6.4,B05_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0076,5.2,-6.4,B05_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0077,6.0,-6.4,B05_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0078,6.8,-6.4,B05_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0079,7.6,-6.4,B06_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0080,8.4,-6.4,B06_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0081,9.2,-6.4,B06_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0082,10.0,-6.4,B06_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0083,10.8,-6.4,B07_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_D;camera_E
P0084,-10.8,-5.6,B00_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B
P0085,-10.0,-5.6,B00_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B
P0086,-9.2,-5.6,B00_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0087,-8.4,-5.6,B01_01,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0088,-7.6,-5.6,B01_01,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C;camera_E
P0089,-6.8,-5.6,B01_01,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C;camera_E
P0090,-6.0,-5.6,B01_01,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C;camera_E
P0091,-5.2,-5.6,B02_01,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0092,-4.4,-5.6,B02_01,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0093,-3.6,-5.6,B02_01,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0094,-2.8,-5.6,B02_01,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0095,-2.0,-5.6,B03_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0096,-1.2,-5.6,B03_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0097,-0.4,-5.6,B03_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0098,0.4,-5.6,B03_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0099,1.2,-5.6,B04_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0100,2.0,-5.6,B04_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0101,2.8,-5.6,B04_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0102,3.6,-5.6,B04_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0103,4.4,-5.6,B05_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0104,5.2,-5.6,B05_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0105,6.0,-5.6,B05_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0106,6.8,-5.6,B05_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0107,7.6,-5.6,B06_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0108,8.4,-5.6,B06_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0109,9.2,-5.6,B06_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0110,10.0,-5.6,B06_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_D;camera_E
P0111,10.8,-5.6,B07_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_D;camera_E
P0112,-10.8,-4.8,B00_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B
P0113,-6.8,-4.8,B01_01,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C;camera_E
P0114,-2.8,-4.8,B02_01,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0115,0.4,-4.8,B03_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0116,1.2,-4.8,B04_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0117,10.8,-4.8,B07_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_D;camera_E
P0118,-10.8,-4.0,B00_01,final_audit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B
P0119,-6.8,-4.0,B01_01,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C
P0120,-2.8,-4.0,B02_01,detector_validation,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B
P0121,1.2,-4.0,B04_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0122,10.8,-4.0,B07_01,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_D;camera_E
P0123,-10.8,-3.2,B00_02,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0124,-6.8,-3.2,B01_02,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_C
P0125,-2.8,-3.2,B02_02,detector_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B
P0126,1.2,-3.2,B04_02,commissioning_fit,0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240;255;270;285;300;315;330;345,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B
