position_id,x_m,y_m,block_id,master_role,heading_phase_degrees,heading_degrees,camera_ids,geometry_visible_camera_ids
P0049,7.6,-8.0,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0050,8.0,-8.0,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0051,8.4,-8.0,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0052,8.8,-8.0,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0053,9.6,-8.0,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0054,10.0,-8.0,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0055,10.4,-8.0,B07_00,detector_fit,15.709319,15.709319;60.709319;105.709319;150.709319;195.709319;240.709319;285.709319;330.709319,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0056,10.8,-8.0,B07_00,detector_fit,15.709319,15.709319;60.709319;105.709319;150.709319;195.709319;240.709319;285.709319;330.709319,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0057,-8.0,-7.6,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
P0058,-7.2,-7.6,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
P0059,-6.4,-7.6,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
P0060,-6.0,-7.6,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C;camera_E
P0061,-5.2,-7.6,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0062,-1.6,-7.6,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0063,-0.4,-7.6,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0064,0.4,-7.6,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_D;camera_E
P0065,1.2,-7.6,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0066,2.0,-7.6,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0067,5.6,-7.6,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0068,6.4,-7.6,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0069,7.2,-7.6,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0070,8.0,-7.6,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0071,9.2,-7.6,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0072,9.6,-7.6,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0073,10.4,-7.6,B07_00,detector_fit,15.709319,15.709319;60.709319;105.709319;150.709319;195.709319;240.709319;285.709319;330.709319,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0074,10.8,-7.6,B07_00,detector_fit,15.709319,15.709319;60.709319;105.709319;150.709319;195.709319;240.709319;285.709319;330.709319,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0075,-7.6,-7.2,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
P0076,-6.8,-7.2,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
P0077,-5.6,-7.2,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0078,-4.4,-7.2,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0079,-4.0,-7.2,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0080,-3.2,-7.2,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0081,-2.8,-7.2,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0082,-2.0,-7.2,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0083,-1.2,-7.2,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0084,0.0,-7.2,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_D;camera_E
P0085,0.8,-7.2,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_D;camera_E
P0086,1.6,-7.2,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0087,2.4,-7.2,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0088,3.2,-7.2,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0089,4.0,-7.2,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0090,4.4,-7.2,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0091,5.2,-7.2,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0092,6.0,-7.2,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0093,6.8,-7.2,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0094,7.6,-7.2,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0095,8.4,-7.2,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0096,8.8,-7.2,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0097,10.0,-7.2,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0098,-10.8,-6.8,B00_00,commissioning_fit,44.955881,44.955881;89.955881;134.955881;179.955881;224.955881;269.955881;314.955881;359.955881,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B
P0099,-10.0,-6.8,B00_00,commissioning_fit,44.955881,44.955881;89.955881;134.955881;179.955881;224.955881;269.955881;314.955881;359.955881,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_E
P0100,-9.2,-6.8,B00_00,commissioning_fit,44.955881,44.955881;89.955881;134.955881;179.955881;224.955881;269.955881;314.955881;359.955881,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_E
P0101,-8.4,-6.8,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_E
P0102,-7.6,-6.8,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
P0103,-6.8,-6.8,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
P0104,-6.0,-6.8,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C;camera_E
P0105,-5.2,-6.8,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0106,-4.8,-6.8,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0107,-3.6,-6.8,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0108,-2.8,-6.8,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0109,-2.0,-6.8,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0110,-0.8,-6.8,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_E
P0111,0.0,-6.8,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_D;camera_E
P0112,0.8,-6.8,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_D;camera_E
P0113,1.6,-6.8,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_D;camera_E
P0114,2.8,-6.8,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0115,3.6,-6.8,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0116,4.8,-6.8,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0117,5.6,-6.8,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0118,6.0,-6.8,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0119,6.4,-6.8,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0120,7.6,-6.8,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0121,8.0,-6.8,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0122,8.8,-6.8,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0123,10.0,-6.8,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0124,10.8,-6.8,B07_00,detector_fit,15.709319,15.709319;60.709319;105.709319;150.709319;195.709319;240.709319;285.709319;330.709319,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0125,-10.4,-6.4,B00_01,final_audit,20.922877,20.922877;65.922877;110.922877;155.922877;200.922877;245.922877;290.922877;335.922877,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B
P0126,-9.6,-6.4,B00_01,final_audit,20.922877,20.922877;65.922877;110.922877;155.922877;200.922877;245.922877;290.922877;335.922877,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_E
P0127,-8.8,-6.4,B01_01,commissioning_fit,2.291665,2.291665;47.291665;92.291665;137.291665;182.291665;227.291665;272.291665;317.291665,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_E
P0128,-8.0,-6.4,B01_01,commissioning_fit,2.291665,2.291665;47.291665;92.291665;137.291665;182.291665;227.291665;272.291665;317.291665,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
P0129,-7.2,-6.4,B01_01,commissioning_fit,2.291665,2.291665;47.291665;92.291665;137.291665;182.291665;227.291665;272.291665;317.291665,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C;camera_E
